"Timestamp","How old are you?","What's your gender?","Do you travel by yourself?","Visit Sights & Landmarks","Head to Nature & Parks","Have fun at Water & Amusement Parks","See the animals at Zoos & Aquariums","Find all the Fun & Game locations","Head out for Outdoor Activities","Check out Museums","Go on Tours","Do some Shopping","Find some Concerts & Shows","Visit Sights & Landmarks","Head to Nature & Parks","Have fun at Water & Amusement Parks","See the animals at Zoos & Aquariums","Find all the Fun & Game locations","Head out for Outdoor Activities","Check out Museums","Go on Tours","Do some Shopping","Find some Concerts & Shows","Visit Sights & Landmarks","Head to Nature & Parks","Have fun at Water & Amusement Parks","See the animals at Zoos & Aquariums","Find all the Fun & Game locations","Head out for Outdoor Activities","Check out Museums","Go on Tours","Do some Shopping","Find some Concerts & Shows","Do you travel with your family?","Do you travel with your friends?"
"2020/04/22 5:06:41 PM GMT+8","25-34","Male","Yes","10","10","5","5","10","10","10","5","7","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes","Yes"
"2020/04/22 5:06:51 PM GMT+8","25-34","Male","No","","","","","","","","","","","8","8","6","6","8","9","4","4","8","1","9","6","10","7","10","8","3","2","10","6","Yes","Yes"
"2020/04/22 5:12:12 PM GMT+8","25-34","Female","Yes","9","9","9","10","8","8","8","1","9","9","10","10","3","8","3","5","7","7","9","3","9","9","9","8","9","9","5","1","10","9","Yes","Yes"
"2020/04/22 5:48:40 PM GMT+8","18-24","Female","Yes","10","10","4","4","4","8","10","10","10","8","10","5","8","8","8","8","10","5","10","1","10","10","10","10","10","8","8","8","10","10","Yes","Yes"
"2020/04/22 6:19:55 PM GMT+8","25-34","Female","Yes","9","10","5","8","5","8","9","8","10","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","Yes","Yes"
"2020/04/22 6:22:00 PM GMT+8","25-34","Female","No","","","","","","","","","","","8","5","8","5","8","8","4","8","10","5","","","","","","","","","","","Yes","No"
"2020/04/22 6:23:02 PM GMT+8","25-34","Male","No","","","","","","","","","","","9","6","3","5","6","6","9","3","8","6","9","9","7","6","9","8","9","3","9","8","Yes","Yes"
"2020/04/22 6:26:10 PM GMT+8","25-34","Male","No","","","","","","","","","","","10","7","4","7","2","1","7","7","10","1","10","7","6","1","7","7","4","1","5","7","Yes","Yes"
"2020/04/22 8:01:47 PM GMT+8","25-34","Male","Yes","10","10","1","1","1","1","1","1","7","1","10","5","5","8","8","8","8","10","10","2","10","8","8","2","10","10","8","5","8","8","Yes","Yes"
"2020/04/22 9:09:26 PM GMT+8","25-34","Female","No","","","","","","","","","","","10","10","1","1","1","5","5","8","10","5","10","7","7","7","10","10","8","8","8","5","Yes","Yes"
"2020/04/22 9:26:55 PM GMT+8","25-34","Female","No","","","","","","","","","","","9","9","3","6","2","7","7","9","10","7","7","8","7","3","9","9","6","9","9","8","Yes","Yes"
"2020/04/22 9:29:03 PM GMT+8","25-34","Male","Yes","8","8","1","1","5","5","8","8","6","3","9","9","1","1","4","3","8","9","7","2","8","8","1","1","7","6","8","8","7","3","Yes","Yes"
"2020/04/22 9:29:04 PM GMT+8","18-24","Male","No","","","","","","","","","","","9","7","7","7","7","7","5","3","8","7","","","","","","","","","","","Yes","No"
"2020/04/22 9:31:25 PM GMT+8","45-54","Female","No","","","","","","","","","","","7","8","6","8","8","8","6","5","8","8","","","","","","","","","","","Yes","No"
"2020/04/22 9:31:39 PM GMT+8","35-44","Male","No","","","","","","","","","","","8","8","6","6","8","8","4","2","9","3","","","","","","","","","","","Yes","No"
"2020/04/22 9:31:52 PM GMT+8","35-44","Male","No","","","","","","","","","","","10","6","9","4","6","7","3","1","10","7","","","","","","","","","","","Yes","No"
"2020/04/22 9:35:17 PM GMT+8","45-54","Female","No","","","","","","","","","","","8","8","5","6","6","6","5","6","6","5","","","","","","","","","","","Yes","No"
"2020/04/22 9:35:23 PM GMT+8","55 and over","Male","No","","","","","","","","","","","9","7","8","9","9","9","7","9","10","7","8","8","9","9","8","9","7","9","10","7","Yes","Yes"
"2020/04/22 9:46:40 PM GMT+8","25-34","Prefer not to say","No","","","","","","","","","","","6","10","4","4","4","8","9","9","9","2","","","","","","","","","","","Yes","No"
"2020/04/22 9:54:49 PM GMT+8","35-44","Female","No","","","","","","","","","","","8","8","1","10","8","8","8","1","8","5","","","","","","","","","","","Yes","No"
"2020/04/22 9:56:26 PM GMT+8","18-24","Female","No","","","","","","","","","","","10","10","10","10","10","10","3","2","7","7","10","5","10","10","10","10","6","1","10","1","Yes","Yes"
"2020/04/22 9:59:04 PM GMT+8","45-54","Male","Yes","2","2","2","2","2","2","2","2","5","1","","","","","","","","","","","2","2","2","2","2","5","2","2","5","1","No","Yes"
"2020/04/22 9:59:20 PM GMT+8","45-54","Female","Yes","5","1","1","1","1","1","8","8","8","1","8","8","5","5","8","8","4","8","4","8","","","","","","","","","","","Yes","No"
"2020/04/22 10:24:24 PM GMT+8","18-24","Male","No","","","","","","","","","","","1","1","10","5","5","2","2","2","10","2","","","","","","","","","","","Yes","No"
"2020/04/23 2:37:18 AM GMT+8","55 and over","Female","No","","","","","","","","","","","9","7","2","5","3","5","6","8","8","5","","","","","","","","","","","Yes","No"
"2020/04/23 8:15:24 AM GMT+8","35-44","Female","No","","","","","","","","","","","10","8","5","5","2","2","8","8","8","5","8","8","8","2","8","2","2","2","8","8","Yes","Yes"
"2020/04/23 8:58:13 AM GMT+8","25-34","Female","No","","","","","","","","","","","9","10","2","5","3","10","10","8","6","8","10","8","6","6","9","9","10","9","7","8","Yes","Yes"
"2020/04/23 9:03:12 AM GMT+8","25-34","Female","No","","","","","","","","","","","6","1","1","8","8","5","10","10","10","10","5","5","5","10","10","5","5","6","10","5","Yes","Yes"
"2020/04/23 9:04:00 AM GMT+8","35-44","Female","No","","","","","","","","","","","10","10","5","6","8","7","6","5","10","6","10","10","5","5","10","10","8","7","10","7","Yes","Yes"
"2020/04/23 9:05:51 AM GMT+8","35-44","Female","No","","","","","","","","","","","8","8","6","6","6","7","6","7","8","5","","","","","","","","","","","Yes","No"
"2020/04/23 9:17:10 AM GMT+8","45-54","Female","No","","","","","","","","","","","8","8","5","5","5","8","6","8","8","5","","","","","","","","","","","Yes","No"
"2020/04/23 9:19:18 AM GMT+8","25-34","Female","No","","","","","","","","","","","6","6","8","8","6","4","2","2","10","4","5","5","10","10","10","10","4","4","10","10","Yes","Yes"
"2020/04/23 9:22:08 AM GMT+8","25-34","Male","Yes","7","7","3","6","7","3","7","1","7","7","7","7","7","7","7","7","7","3","7","3","7","7","7","7","7","7","7","3","7","7","Yes","Yes"
"2020/04/23 9:25:40 AM GMT+8","25-34","Female","Yes","1","1","1","1","1","1","1","1","1","1","10","10","1","10","5","10","5","1","10","1","","","","","","","","","","","Yes","No"
"2020/04/23 9:26:10 AM GMT+8","35-44","Female","Yes","10","1","1","1","1","8","10","10","10","10","10","10","7","7","5","9","10","10","7","10","10","1","1","1","1","10","8","10","10","10","Yes","Yes"
"2020/04/23 9:26:30 AM GMT+8","25-34","Female","No","","","","","","","","","","","7","5","8","8","8","6","7","5","8","6","","","","","","","","","","","Yes","No"
"2020/04/23 9:31:30 AM GMT+8","35-44","Female","No","","","","","","","","","","","8","7","8","10","10","6","9","9","8","5","","","","","","","","","","","Yes","No"
"2020/04/23 9:32:31 AM GMT+8","25-34","Female","Yes","9","10","7","8","5","5","8","1","8","2","9","7","4","3","6","7","7","9","10","3","8","9","9","2","2","7","5","1","10","7","Yes","Yes"
"2020/04/23 9:32:47 AM GMT+8","25-34","Male","Yes","10","9","3","3","3","10","9","8","5","6","10","7","2","4","4","7","6","9","9","7","9","6","6","4","8","7","7","7","10","6","Yes","Yes"
"2020/04/23 9:34:10 AM GMT+8","45-54","Male","No","","","","","","","","","","","10","10","8","6","5","10","10","7","8","10","10","7","8","3","8","10","10","7","8","10","Yes","Yes"
"2020/04/23 9:36:46 AM GMT+8","45-54","Female","Yes","4","10","3","3","3","8","10","7","2","3","","","","","","","","","","","","","","","","","","","","","No","No"
"2020/04/23 9:44:34 AM GMT+8","25-34","Female","No","","","","","","","","","","","8","10","8","6","5","9","6","6","8","7","","","","","","","","","","","Yes","No"
"2020/04/23 10:15:32 AM GMT+8","25-34","Male","No","","","","","","","","","","","7","7","8","9","9","7","8","8","9","8","8","7","8","8","9","7","8","8","8","7","Yes","Yes"
"2020/04/23 10:19:30 AM GMT+8","25-34","Female","Yes","3","7","9","9","9","9","3","3","8","8","7","9","9","9","9","9","3","1","8","1","4","2","5","2","6","6","5","3","6","7","Yes","Yes"
"2020/04/23 10:49:55 AM GMT+8","25-34","Female","Yes","6","10","7","8","7","9","8","3","7","9","8","10","8","7","7","8","9","1","8","5","6","10","8","7","9","9","8","2","9","8","Yes","Yes"
"2020/04/23 11:10:14 AM GMT+8","18-24","Female","Yes","10","10","4","4","4","8","10","10","10","8","10","5","8","8","8","8","10","5","10","1","10","10","10","10","10","8","8","8","10","10","Yes","Yes"
"2020/04/27 10:13:10 AM GMT+8","45-54","Female","Yes","7","5","2","2","3","8","10","10","10","5","10","9","8","9","9","7","3","8","5","1","8","6","5","4","4","8","7","9","10","8","Yes","Yes"
"2020/04/27 10:14:29 AM GMT+8","45-54","Male","Yes","9","6","6","1","3","10","6","4","3","7","9","9","9","6","9","8","5","6","4","3","8","4","4","2","5","8","5","4","2","9","Yes","Yes"
"2020/04/27 11:42:58 AM GMT+8","55 and over","Male","No","","","","","","","","","","","10","10","3","7","5","10","10","9","5","3","10","10","2","2","7","7","9","9","6","6","Yes","Yes"
"2020/04/28 11:11:51 AM GMT+8","Less than 18","Male","Yes","9","7","5","3","9","8","5","9","9","9","10","9","9","5","4","4","8","10","8","2","8","5","9","2","10","10","4","2","8","9","Yes","Yes"
"2020/04/28 11:12:35 AM GMT+8","45-54","Female","Yes","7","10","9","6","9","6","10","9","9","2","10","8","9","9","7","9","10","10","9","6","","","","","","","","","","","Yes","No"