Departure Date,Arrival Date,Departure Time,Arrival Time,Duration,Type of Flight,Price,Airline,Departure Airport,Arrival Airport,Departure City,Arrival City
1/8/20,1/8/20,12:20:00,13:50:00,2H30M,direct,180.2,THAI LION AIR,SIN,DMK,SIN,BKK
1/8/20,1/8/20,20:30:00,22:00:00,2H30M,direct,180.2,THAI LION AIR,SIN,DMK,SIN,BKK
1/8/20,1/8/20,22:20:00,23:45:00,2H25M,direct,261.4,SCOOT,SIN,DMK,SIN,BKK
1/8/20,1/8/20,06:30:00,08:00:00,2H30M,direct,301.4,SCOOT,SIN,BKK,SIN,BKK
1/8/20,1/8/20,08:20:00,09:50:00,2H30M,direct,301.4,SCOOT,SIN,BKK,SIN,BKK
1/8/20,1/8/20,01:10:00,06:00:00,4H50M,direct,452.2,JETSTAR ASIA,SIN,TPE,SIN,TPE
1/8/20,1/8/20,07:00:00,11:50:00,4H50M,direct,452.2,JETSTAR ASIA,SIN,TPE,SIN,TPE
1/8/20,1/8/20,02:00:00,06:55:00,4H55M,direct,544,CHINA AIRLINES LTD.,SIN,TPE,SIN,TPE
1/8/20,1/8/20,13:25:00,18:20:00,4H55M,direct,544,CHINA AIRLINES LTD.,SIN,TPE,SIN,TPE
1/8/20,1/8/20,00:50:00,05:40:00,4H50M,direct,626.8,SCOOT,SIN,TPE,SIN,TPE
1/8/20,1/8/20,06:10:00,14:20:00,7H10M,direct,1921,ALL NIPPON AIRWAYS,SIN,NRT,SIN,TYO
1/8/20,1/8/20,11:00:00,19:10:00,7H10M,direct,1956,ALL NIPPON AIRWAYS,SIN,HND,SIN,TYO
1/8/20,2/8/20,22:10:00,06:30:00,7H20M,direct,1956,ALL NIPPON AIRWAYS,SIN,HND,SIN,TYO
1/8/20,2/8/20,23:00:00,07:00:00,7H,direct,2303.4,JAPAN AIRLINES,SIN,HND,SIN,TYO
1/8/20,1/8/20,01:50:00,09:50:00,7H,direct,2338.4,JAPAN AIRLINES,SIN,HND,SIN,TYO
1/8/20,1/8/20,02:45:00,10:15:00,6H30M,direct,1169.4,ASIANA AIRLINES,SIN,ICN,SIN,ICN
1/8/20,2/8/20,22:40:00,06:10:00,6H30M,direct,1169.4,ASIANA AIRLINES,SIN,ICN,SIN,ICN
1/8/20,1/8/20,01:10:00,08:25:00,6H15M,direct,1536.4,KOREAN AIR,SIN,ICN,SIN,ICN
1/8/20,2/8/20,22:35:00,06:00:00,6H25M,direct,1536.4,KOREAN AIR,SIN,ICN,SIN,ICN
1/8/20,1/8/20,02:25:00,09:50:00,6H25M,direct,1746.4,ASIANA AIRLINES,SIN,ICN,SIN,ICN
10/8/20,10/8/20,07:40:00,11:20:00,2H40M,direct,172.2,THAI LION AIR,DMK,SIN,BKK,SIN
10/8/20,10/8/20,15:50:00,19:30:00,2H40M,direct,226.2,THAI LION AIR,DMK,SIN,BKK,SIN
10/8/20,10/8/20,09:25:00,12:50:00,2H25M,direct,322.8,JETSTAR ASIA,BKK,SIN,BKK,SIN
10/8/20,10/8/20,12:50:00,16:15:00,2H25M,direct,322.8,JETSTAR ASIA,BKK,SIN,BKK,SIN
10/8/20,10/8/20,19:00:00,22:25:00,2H25M,direct,322.8,JETSTAR ASIA,BKK,SIN,BKK,SIN
2/8/20,2/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
2/8/20,3/8/20,19:30:00,00:20:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
2/8/20,2/8/20,03:45:00,08:30:00,3H45M,direct,463.8,NOKSCOOT AIRLINES,DMK,TPE,BKK,TPE
2/8/20,2/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
2/8/20,2/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
3/8/20,3/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
3/8/20,4/8/20,19:30:00,00:20:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
3/8/20,3/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
3/8/20,3/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
3/8/20,3/8/20,13:20:00,18:00:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
4/8/20,5/8/20,19:30:00,00:20:00,3H50M,direct,268.4,THAI LION AIR,DMK,TPE,BKK,TPE
4/8/20,4/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
4/8/20,4/8/20,03:45:00,08:30:00,3H45M,direct,429.8,NOKSCOOT AIRLINES,DMK,TPE,BKK,TPE
4/8/20,4/8/20,03:45:00,08:30:00,3H45M,direct,514.4,HAHN AIR SYSTEMS,DMK,TPE,BKK,TPE
4/8/20,4/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
5/8/20,5/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
5/8/20,6/8/20,19:30:00,00:20:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
5/8/20,5/8/20,03:45:00,08:30:00,3H45M,direct,463.8,NOKSCOOT AIRLINES,DMK,TPE,BKK,TPE
5/8/20,5/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
5/8/20,5/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
6/8/20,7/8/20,19:30:00,00:20:00,3H50M,direct,268.4,THAI LION AIR,DMK,TPE,BKK,TPE
6/8/20,6/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
6/8/20,6/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
6/8/20,6/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
6/8/20,6/8/20,13:20:00,18:00:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
7/8/20,7/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
7/8/20,8/8/20,19:30:00,00:20:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
7/8/20,7/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
7/8/20,7/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
7/8/20,7/8/20,13:20:00,18:00:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
8/8/20,8/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
8/8/20,9/8/20,19:30:00,00:20:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
8/8/20,8/8/20,03:45:00,08:30:00,3H45M,direct,499.8,NOKSCOOT AIRLINES,DMK,TPE,BKK,TPE
8/8/20,8/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
8/8/20,8/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
9/8/20,9/8/20,03:10:00,08:00:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
9/8/20,10/8/20,19:30:00,00:20:00,3H50M,direct,338.4,THAI LION AIR,DMK,TPE,BKK,TPE
9/8/20,9/8/20,03:45:00,08:30:00,3H45M,direct,499.8,NOKSCOOT AIRLINES,DMK,TPE,BKK,TPE
9/8/20,9/8/20,08:35:00,13:15:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
9/8/20,9/8/20,11:00:00,15:40:00,3H40M,direct,525.2,CHINA AIRLINES LTD.,BKK,TPE,BKK,TPE
2/8/20,2/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
2/8/20,2/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
2/8/20,2/8/20,02:20:00,10:25:00,6H5M,direct,881.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
2/8/20,2/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
2/8/20,2/8/20,13:00:00,21:10:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,HND,BKK,TYO
3/8/20,3/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
3/8/20,3/8/20,02:20:00,10:25:00,6H5M,direct,525.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
3/8/20,3/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
3/8/20,3/8/20,02:20:00,10:25:00,6H5M,direct,622,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
3/8/20,3/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
4/8/20,4/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
4/8/20,4/8/20,02:20:00,10:25:00,6H5M,direct,525.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
4/8/20,4/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
4/8/20,4/8/20,02:20:00,10:25:00,6H5M,direct,622,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
4/8/20,4/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
5/8/20,5/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
5/8/20,5/8/20,02:20:00,10:25:00,6H5M,direct,525.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
5/8/20,5/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
5/8/20,5/8/20,02:20:00,10:25:00,6H5M,direct,622,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
5/8/20,5/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
6/8/20,6/8/20,00:55:00,09:10:00,6H15M,direct,389.8,THAI LION AIR,DMK,NRT,BKK,TYO
6/8/20,6/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
6/8/20,6/8/20,02:20:00,10:25:00,6H5M,direct,525.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
6/8/20,6/8/20,02:20:00,10:25:00,6H5M,direct,622,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
6/8/20,6/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
7/8/20,7/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
7/8/20,7/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
7/8/20,7/8/20,02:20:00,10:25:00,6H5M,direct,663.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
7/8/20,7/8/20,02:20:00,10:25:00,6H5M,direct,770,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
7/8/20,7/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
8/8/20,8/8/20,00:45:00,09:05:00,6H20M,direct,499.4,SCOOT,DMK,NRT,BKK,TYO
8/8/20,8/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
8/8/20,8/8/20,02:20:00,10:25:00,6H5M,direct,663.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
8/8/20,8/8/20,02:20:00,10:25:00,6H5M,direct,770,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
8/8/20,8/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
9/8/20,9/8/20,00:55:00,09:10:00,6H15M,direct,555.8,THAI LION AIR,DMK,NRT,BKK,TYO
9/8/20,9/8/20,02:20:00,10:25:00,6H5M,direct,663.4,NOKSCOOT AIRLINES,DMK,NRT,BKK,TYO
9/8/20,9/8/20,02:20:00,10:25:00,6H5M,direct,770,HAHN AIR SYSTEMS,DMK,NRT,BKK,TYO
9/8/20,9/8/20,07:35:00,15:45:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,NRT,BKK,TYO
9/8/20,9/8/20,13:00:00,21:10:00,6H10M,direct,965.2,THAI AIRWAYS INTERNATIONAL,BKK,HND,BKK,TYO
2/8/20,3/8/20,22:20:00,06:00:00,5H40M,direct,690.6,EASTAR JET,BKK,ICN,BKK,ICN
2/8/20,2/8/20,01:00:00,08:40:00,5H40M,direct,753,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
2/8/20,2/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
2/8/20,3/8/20,22:35:00,06:00:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
2/8/20,3/8/20,23:30:00,06:55:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
3/8/20,4/8/20,22:20:00,06:00:00,5H40M,direct,690.6,EASTAR JET,BKK,ICN,BKK,ICN
3/8/20,3/8/20,01:00:00,08:40:00,5H40M,direct,753,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
3/8/20,3/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
3/8/20,4/8/20,22:35:00,06:00:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
3/8/20,4/8/20,23:30:00,06:55:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
4/8/20,4/8/20,01:00:00,08:40:00,5H40M,direct,585,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
4/8/20,5/8/20,22:20:00,06:00:00,5H40M,direct,690.6,EASTAR JET,BKK,ICN,BKK,ICN
4/8/20,4/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
4/8/20,5/8/20,23:30:00,06:55:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
4/8/20,4/8/20,01:20:00,08:50:00,5H30M,direct,963.4,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
5/8/20,5/8/20,01:00:00,08:40:00,5H40M,direct,585,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
5/8/20,6/8/20,22:20:00,06:00:00,5H40M,direct,690.6,EASTAR JET,BKK,ICN,BKK,ICN
5/8/20,5/8/20,01:20:00,08:50:00,5H30M,direct,849.4,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
5/8/20,5/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
5/8/20,6/8/20,22:35:00,06:00:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
6/8/20,6/8/20,01:00:00,08:40:00,5H40M,direct,585,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
6/8/20,7/8/20,22:20:00,06:00:00,5H40M,direct,690.6,EASTAR JET,BKK,ICN,BKK,ICN
6/8/20,6/8/20,01:20:00,08:50:00,5H30M,direct,849.4,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
6/8/20,6/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
6/8/20,7/8/20,23:30:00,06:55:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
7/8/20,7/8/20,01:00:00,08:40:00,5H40M,direct,585,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
7/8/20,7/8/20,01:20:00,08:50:00,5H30M,direct,849.4,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
7/8/20,7/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
7/8/20,8/8/20,22:35:00,06:00:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
7/8/20,8/8/20,23:30:00,06:55:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
8/8/20,8/8/20,01:00:00,08:40:00,5H40M,direct,669,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
8/8/20,9/8/20,22:20:00,06:00:00,5H40M,direct,767.6,EASTAR JET,BKK,ICN,BKK,ICN
8/8/20,8/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
8/8/20,9/8/20,22:35:00,06:00:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
8/8/20,9/8/20,23:30:00,06:55:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
9/8/20,10/8/20,22:20:00,06:00:00,5H40M,direct,690.6,EASTAR JET,BKK,ICN,BKK,ICN
9/8/20,9/8/20,01:00:00,08:40:00,5H40M,direct,707,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
9/8/20,9/8/20,12:30:00,20:50:00,6H20M,direct,753,HAHN AIR SYSTEMS,BKK,ICN,BKK,ICN
9/8/20,9/8/20,01:00:00,09:15:00,6H15M,direct,914.8,ASIANA AIRLINES,BKK,ICN,BKK,ICN
9/8/20,10/8/20,22:35:00,06:00:00,5H25M,direct,919.2,THAI AIRWAYS INTERNATIONAL,BKK,ICN,BKK,ICN
10/8/20,10/8/20,07:50:00,12:25:00,4H35M,direct,459.6,CHINA AIRLINES LTD.,TPE,SIN,TPE,SIN
10/8/20,11/8/20,19:35:00,00:10:00,4H35M,direct,459.6,CHINA AIRLINES LTD.,TPE,SIN,TPE,SIN
10/8/20,10/8/20,07:40:00,12:00:00,4H20M,direct,474.6,EVA AIR,TPE,SIN,TPE,SIN
10/8/20,10/8/20,09:25:00,13:50:00,4H25M,direct,474.6,EVA AIR,TPE,SIN,TPE,SIN
10/8/20,10/8/20,01:30:00,06:00:00,4H30M,direct,763.2,SCOOT,TPE,SIN,TPE,SIN
2/8/20,2/8/20,01:45:00,04:35:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
2/8/20,2/8/20,10:40:00,13:30:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
2/8/20,3/8/20,22:40:00,01:25:00,3H45M,direct,365.2,CHINA AIRLINES LTD.,TPE,BKK,TPE,BKK
2/8/20,2/8/20,20:45:00,23:30:00,3H45M,direct,390.2,EVA AIR,TPE,BKK,TPE,BKK
2/8/20,2/8/20,13:35:00,16:20:00,3H45M,direct,439.2,CHINA AIRLINES LTD.,TPE,BKK,TPE,BKK
3/8/20,3/8/20,01:45:00,04:35:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
3/8/20,3/8/20,10:40:00,13:30:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
3/8/20,4/8/20,22:40:00,01:25:00,3H45M,direct,365.2,CHINA AIRLINES LTD.,TPE,BKK,TPE,BKK
3/8/20,4/8/20,22:30:00,01:10:00,3H40M,direct,390.2,EVA AIR,TPE,BKK,TPE,BKK
3/8/20,3/8/20,20:45:00,23:30:00,3H45M,direct,390.2,EVA AIR,TPE,BKK,TPE,BKK
4/8/20,4/8/20,01:45:00,04:35:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
4/8/20,4/8/20,10:40:00,13:30:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
4/8/20,5/8/20,22:40:00,01:25:00,3H45M,direct,365.2,CHINA AIRLINES LTD.,TPE,BKK,TPE,BKK
4/8/20,5/8/20,22:30:00,01:10:00,3H40M,direct,390.2,EVA AIR,TPE,BKK,TPE,BKK
4/8/20,4/8/20,20:45:00,23:30:00,3H45M,direct,390.2,EVA AIR,TPE,BKK,TPE,BKK
5/8/20,5/8/20,01:45:00,04:35:00,3H50M,direct,266.8,THAI LION AIR,TPE,DMK,TPE,BKK
5/8/20,5/8/20,10:40:00,13:30:00,3H50M,direct,342.8,THAI LION AIR,TPE,DMK,TPE,BKK
5/8/20,6/8/20,22:40:00,01:25:00,3H45M,direct,365.2,CHINA AIRLINES LTD.,TPE,BKK,TPE,BKK
5/8/20,5/8/20,20:45:00,23:30:00,3H45M,direct,390.2,EVA AIR,TPE,BKK,TPE,BKK
5/8/20,5/8/20,13:35:00,16:20:00,3H45M,direct,439.2,CHINA AIRLINES LTD.,TPE,BKK,TPE,BKK
