Departure Date,Arrival Date,Departure Time,Arrival Time,Duration,Type of Flight,Price,Airline,Departure AirportArrival Airport,Departure Airport,Arrival Airport
2020-08-01,2020-08-01,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-01,2020-08-01,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-01,2020-08-01,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-01,2020-08-01,06:30:00,08:00:00,2H30M,direct,323.60,SCOOT,,SIN,BKK
2020-08-01,2020-08-01,08:20:00,09:50:00,2H30M,direct,323.60,SCOOT,,SIN,BKK
2020-08-02,2020-08-02,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-02,2020-08-02,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-02,2020-08-02,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-02,2020-08-02,20:40:00,22:05:00,2H25M,direct,303.60,SCOOT,,SIN,DMK
2020-08-02,2020-08-02,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-03,2020-08-03,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-03,2020-08-03,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-03,2020-08-03,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-03,2020-08-03,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-03,2020-08-03,08:20:00,09:50:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-04,2020-08-04,12:55:00,14:25:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-04,2020-08-04,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-04,2020-08-04,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-04,2020-08-04,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-04,2020-08-04,08:20:00,09:50:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-05,2020-08-05,12:55:00,14:25:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-05,2020-08-05,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-05,2020-08-05,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-05,2020-08-05,20:40:00,22:05:00,2H25M,direct,303.60,SCOOT,,SIN,DMK
2020-08-05,2020-08-05,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-06,2020-08-06,12:55:00,14:25:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-06,2020-08-06,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-06,2020-08-06,22:20:00,23:45:00,2H25M,direct,323.60,SCOOT,,SIN,DMK
2020-08-06,2020-08-06,07:20:00,08:45:00,2H25M,direct,327.60,JETSTAR ASIA,,SIN,BKK
2020-08-06,2020-08-06,10:45:00,12:10:00,2H25M,direct,327.60,JETSTAR ASIA,,SIN,BKK
2020-08-07,2020-08-07,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-07,2020-08-07,20:30:00,22:00:00,2H30M,direct,257.80,THAI LION AIR,,SIN,DMK
2020-08-07,2020-08-07,06:30:00,08:00:00,2H30M,direct,385.60,SCOOT,,SIN,BKK
2020-08-07,2020-08-07,17:55:00,19:25:00,2H30M,direct,385.60,SCOOT,,SIN,BKK
2020-08-07,2020-08-07,12:40:00,14:25:00,2H45M,direct,385.60,SCOOT,,SIN,BKK
2020-08-08,2020-08-08,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-08,2020-08-08,12:20:00,13:50:00,2H30M,direct,257.80,THAI LION AIR,,SIN,DMK
2020-08-08,2020-08-08,17:55:00,19:25:00,2H30M,direct,353.60,SCOOT,,SIN,BKK
2020-08-08,2020-08-08,19:15:00,20:40:00,2H25M,direct,415.60,JETSTAR ASIA,,SIN,BKK
2020-08-08,2020-08-08,08:20:00,09:50:00,2H30M,direct,421.60,SCOOT,,SIN,BKK
2020-08-09,2020-08-09,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-09,2020-08-09,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-09,2020-08-09,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-09,2020-08-09,08:20:00,09:50:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-09,2020-08-09,17:55:00,19:25:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-10,2020-08-10,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-10,2020-08-10,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-10,2020-08-10,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-10,2020-08-10,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-10,2020-08-10,08:20:00,09:50:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-01,2020-08-01,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-01,2020-08-01,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-01,2020-08-01,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-01,2020-08-01,13:25:00,18:20:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-01,2020-08-01,00:50:00,05:40:00,4H50M,direct,649.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,12:10:00,17:00:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-02,2020-08-02,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-02,2020-08-02,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-03,2020-08-03,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-03,2020-08-03,08:50:00,13:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-03,2020-08-03,12:30:00,17:20:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-03,2020-08-03,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-03,2020-08-03,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-04,2020-08-04,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-04,2020-08-04,08:50:00,13:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-04,2020-08-04,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-04,2020-08-04,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-04,2020-08-04,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-05,2020-08-05,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-05,2020-08-05,12:10:00,17:00:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-05,2020-08-05,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-05,2020-08-05,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-05,2020-08-05,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-06,2020-08-06,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-06,2020-08-06,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-06,2020-08-06,07:00:00,11:50:00,4H50M,direct,513.00,JETSTAR ASIA,,SIN,TPE
2020-08-06,2020-08-06,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-06,2020-08-06,13:25:00,18:20:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-07,2020-08-07,12:10:00,17:00:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-07,2020-08-07,07:00:00,11:50:00,4H50M,direct,513.00,JETSTAR ASIA,,SIN,TPE
2020-08-07,2020-08-07,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-07,2020-08-07,13:25:00,18:20:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-07,2020-08-07,13:10:00,17:45:00,4H35M,direct,742.60,EVA AIR,,SIN,TPE
2020-08-08,2020-08-08,06:10:00,11:05:00,4H55M,direct,419.00,SCOOT,,SIN,TPE
2020-08-08,2020-08-08,01:10:00,06:00:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-08,2020-08-08,07:00:00,11:50:00,4H50M,direct,513.00,JETSTAR ASIA,,SIN,TPE
2020-08-08,2020-08-08,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-08,2020-08-08,13:25:00,18:20:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-09,2020-08-09,12:10:00,17:00:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-09,2020-08-09,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-09,2020-08-09,01:10:00,06:00:00,4H50M,direct,513.00,JETSTAR ASIA,,SIN,TPE
2020-08-09,2020-08-09,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-09,2020-08-09,13:25:00,18:20:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-10,2020-08-10,00:50:00,05:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-10,2020-08-10,08:50:00,13:40:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-10,2020-08-10,12:30:00,17:20:00,4H50M,direct,419.00,SCOOT,,SIN,TPE
2020-08-10,2020-08-10,07:00:00,11:50:00,4H50M,direct,473.00,JETSTAR ASIA,,SIN,TPE
2020-08-10,2020-08-10,02:00:00,06:55:00,4H55M,direct,565.80,CHINA AIRLINES LTD.,,SIN,TPE
2020-08-01,2020-08-01,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-01,2020-08-01,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-01,2020-08-02,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-01,2020-08-02,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-01,2020-08-01,01:50:00,09:50:00,7H,direct,2361.00,JAPAN AIRLINES,,SIN,HND
2020-08-02,2020-08-02,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-02,2020-08-02,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-02,2020-08-03,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-02,2020-08-03,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-02,2020-08-02,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-03,2020-08-03,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-03,2020-08-03,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-03,2020-08-04,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-03,2020-08-04,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-03,2020-08-03,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-04,2020-08-04,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-04,2020-08-04,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-04,2020-08-05,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-04,2020-08-05,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-04,2020-08-04,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-05,2020-08-05,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-05,2020-08-05,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-05,2020-08-06,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-05,2020-08-06,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-05,2020-08-05,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-06,2020-08-06,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-06,2020-08-06,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-06,2020-08-07,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-06,2020-08-07,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-06,2020-08-06,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-07,2020-08-07,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-07,2020-08-07,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-07,2020-08-08,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-07,2020-08-08,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-07,2020-08-07,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-08,2020-08-08,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-08,2020-08-08,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-08,2020-08-09,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-08,2020-08-09,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-08,2020-08-08,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-09,2020-08-09,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-09,2020-08-09,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-09,2020-08-10,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-09,2020-08-10,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-09,2020-08-09,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-10,2020-08-10,06:10:00,14:20:00,7H10M,direct,1942.60,ALL NIPPON AIRWAYS,,SIN,NRT
2020-08-10,2020-08-10,11:00:00,19:10:00,7H10M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-10,2020-08-11,22:10:00,06:30:00,7H20M,direct,1977.60,ALL NIPPON AIRWAYS,,SIN,HND
2020-08-10,2020-08-11,23:00:00,07:00:00,7H,direct,2326.00,JAPAN AIRLINES,,SIN,HND
2020-08-10,2020-08-10,08:10:00,16:20:00,7H10M,direct,2326.00,JAPAN AIRLINES,,SIN,NRT
2020-08-01,2020-08-01,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-01,2020-08-02,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-01,2020-08-01,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-01,2020-08-02,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-01,2020-08-01,02:25:00,09:50:00,6H25M,direct,1770.20,ASIANA AIRLINES,,SIN,ICN
2020-08-02,2020-08-02,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-02,2020-08-03,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-02,2020-08-02,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-02,2020-08-03,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-02,2020-08-02,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-03,2020-08-03,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-03,2020-08-04,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-03,2020-08-03,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-03,2020-08-04,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-03,2020-08-03,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-04,2020-08-04,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-04,2020-08-05,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-04,2020-08-04,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-04,2020-08-05,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-04,2020-08-04,02:25:00,09:50:00,6H25M,direct,1770.20,ASIANA AIRLINES,,SIN,ICN
2020-08-05,2020-08-05,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-05,2020-08-06,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-05,2020-08-05,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-05,2020-08-06,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-05,2020-08-05,02:25:00,09:50:00,6H25M,direct,1770.20,ASIANA AIRLINES,,SIN,ICN
2020-08-06,2020-08-06,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-06,2020-08-07,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-06,2020-08-06,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-06,2020-08-07,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-06,2020-08-06,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-07,2020-08-07,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-07,2020-08-08,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-07,2020-08-07,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-07,2020-08-08,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-07,2020-08-07,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-08,2020-08-08,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-08,2020-08-09,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-08,2020-08-08,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-08,2020-08-09,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-08,2020-08-08,02:25:00,09:50:00,6H25M,direct,1770.20,ASIANA AIRLINES,,SIN,ICN
2020-08-09,2020-08-09,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-09,2020-08-10,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-09,2020-08-09,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-09,2020-08-10,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-09,2020-08-09,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-10,2020-08-10,02:45:00,10:15:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-10,2020-08-11,22:40:00,06:10:00,6H30M,direct,1193.20,ASIANA AIRLINES,,SIN,ICN
2020-08-10,2020-08-10,01:10:00,08:25:00,6H15M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-10,2020-08-11,22:35:00,06:00:00,6H25M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-10,2020-08-10,11:00:00,18:35:00,6H35M,direct,1560.20,KOREAN AIR,,SIN,ICN
2020-08-01,2020-08-01,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
